code,logical_bit,noise_type,noise_prob,syndrome,decoded_result,logical_error,fidelity,trial
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,0
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,1
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,2
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,3
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,4
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,5
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,6
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,7
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,8
Shor,0,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.12500004198930104,9
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,0
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,1
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,2
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,3
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,4
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,5
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,6
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,7
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,8
Steane,0,none,0.9,"[0, 0, 0]",No error,True,0.4999999999999996,9
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,0
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,1
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,2
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,3
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,4
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,5
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,6
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,7
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,8
Surface,0,none,0.9,"[0, 0]",No error,False,1.0,9
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,0
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,1
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,2
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,3
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,4
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,5
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,6
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,7
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,8
Shor,1,none,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,1.5076994399827608e-17,9
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,0
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,1
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,2
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,3
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,4
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,5
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,6
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,7
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,8
Steane,1,none,0.9,"[0, 0, 0]",No error,True,0.0,9
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,0
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,1
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,2
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,3
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,4
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,5
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,6
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,7
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,8
Surface,1,none,0.9,"[0, 0]",No error,True,0.0,9
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,0
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,1
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,2
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,3
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,4
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,5
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,6
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,7
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,8
Shor,0,bit_flip,0.9,"[0, 1, 1, 1, 0, 1]",Unknown error pattern,True,0.048627140933445355,9
