code,logical_bit,noise_type,noise_prob,syndrome,decoded_result,logical_error,fidelity,trial
Shor,0,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.008615130370499444,6
Shor,0,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.008615130370499444,7
Shor,0,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.008615130370499444,8
Shor,0,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.008615130370499444,9
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,0
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,1
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,2
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,3
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,4
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,5
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,6
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,7
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,8
Steane,0,bit_flip,0.9,"[0, 0, 0]",No error,True,0.23914854764151897,9
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,0
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,1
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,2
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,3
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,4
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,5
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,6
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,7
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,8
Surface,0,bit_flip,0.9,"[0, 0]",No error,True,1.0000000000004986e-05,9
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,0
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,1
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,2
